Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
87,SO,FL,PIE,Clearwater,St Pete-Clearwater International,P,S,1021007,697425,0.464
90,SO,FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,S,973477,461177,1.1109
99,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,794846,398792,0.9931
100,SO,FL,PGD,Punta Gorda,Punta Gorda,P,S,783397,596859,0.3125
102,SO,FL,EYW,Key West,Key West International,P,S,741130,336023,1.2056
146,SO,FL,TLH,Tallahassee,Tallahassee International,P,N,319886,180144,0.7757
154,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,275166,156172,0.7619
176,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,200444,123999,0.6165
181,SO,FL,MLB,Melbourne,Melbourne Orlando International,P,N,176820,108934,0.6232
407,SO,FL,FXE,Fort Lauderdale,Fort Lauderdale Exec,CS,None,8897,4096,1.1721
443,SO,FL,NIP,Jacksonville,Jacksonville NAS (Towers Field),GA,None,6032,5336,0.1304
472,SO,FL,VRB,Vero Beach,Vero Beach Regional,CS,None,4156,2337,0.7783
488,SO,FL,OPF,Miami,Miami-Opa Locka Exec,GA,None,3500,881,2.9728
563,SO,FL,DTS,Destin,Destin Exec,GA,None,1765,309,4.712
570,SO,FL,NPA,Pensacola,Pensacola NAS (Forrest Sherman Field),GA,None,1708,1524,0.1207
580,SO,FL,HRT,Mary Esther,Hurlburt Field,GA,None,1579,2077,-0.2398
613,SO,FL,PAM,Panama City,Tyndall AFB,GA,None,1244,1322,-0.059
667,SO,FL,BCT,Boca Raton,Boca Raton,GA,None,709,284,1.4965
676,SO,FL,APF,Naples,Naples Municipal,GA,None,658,312,1.109
701,SO,FL,NQX,Key West,Key West NAS (Boca Chica Field),GA,None,479,213,1.2488
719,SO,FL,SGJ,Saint Augustine,Northeast Florida Regional,GA,None,381,33,10.5455
750,SO,FL,LAL,Lakeland,Lakeland Linder International,GA,None,236,8,28.5
765,SO,FL,ORL,Orlando,Exec,GA,None,190,135,0.4074
779,SO,FL,ISM,Kissimmee,Kissimmee Gateway,GA,None,178,38,3.6842
802,SO,FL,FMY,Fort Myers,Page Field,GA,None,130,10,12
820,SO,FL,SUA,Stuart,Witham Field,GA,None,114,91,0.2527
826,SO,FL,MTH,Marathon,The Florida Keys Marathon International,GA,None,101,34,1.9706
833,SO,FL,COF,Cocoa Beach,Patrick Space Force Base,GA,None,86,282,-0.695
840,SO,FL,MCF,Tampa,MacDill AFB,GA,None,81,203,-0.601
854,SO,FL,HST,Homestead,Homestead ARB,GA,None,67,251,-0.7331
862,SO,FL,TMB,Miami,Miami Exec,GA,None,64,58,0.1034
865,SO,FL,07FA,Key Largo,Ocean Reef Club,GA,None,60,37,0.6216
1004,SO,FL,VNC,Venice,Venice Municipal,GA,None,20,8,1.5
1007,SO,FL,MKY,Marco Island,Marco Island Exec,GA,None,19,0,0
1050,SO,FL,FPR,Fort Pierce,Treasure Coast International,GA,None,13,10,0.3
1066,SO,FL,LEE,Leesburg,Leesburg International,GA,None,11,0,0
1130,SO,FL,FHB,Fernandina Beach,Fernandina Beach Municipal,GA,None,7,2,2.5
1136,SO,FL,OCF,Ocala,Ocala International-Jim Taylor Field,GA,None,7,15,-0.5333
1164,SO,FL,FA54,Placida,Coral Creek,GA,None,5,2,1.5
1258,SO,FL,CRG,Jacksonville,Jacksonville Exec at Craig,GA,None,2,10,-0.8
1319,SO,FL,SPG,Saint Petersburg,Albert Whitted,GA,None,1,2,-0.5
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,36676010,20559866,0.7839
76,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,1360214,576827,1.3581
157,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,251961,155450,0.6208
257,SO,GA,CSG,Columbus,Columbus,P,N,56520,29686,0.9039
277,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,38736,21808,0.7762
284,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,35856,19123,0.875
290,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,31796,17222,0.8462
363,SO,GA,MCN,Macon,Middle Georgia Regional,P,N,14176,8341,0.6996
538,SO,GA,PDK,Atlanta,Dekalb-Peachtree,GA,None,2111,2527,-0.1646
547,SO,GA,SVN,Savannah,Hunter AAF,GA,None,1936,10911,-0.8226
557,SO,GA,AHN,Athens,Athens/Ben Epps,GA,None,1797,1273,0.4116
558,SO,GA,WRB,Warner Robins,Robins AFB,GA,None,1797,808,1.224
595,SO,GA,LSF,Fort Benning (U.S. Army),Lawson AAF (Fort Benning),GA,None,1373,4500,-0.6949
697,SO,GA,MGE,Marietta,Dobbins ARB,GA,None,503,1018,-0.5059
751,SO,GA,VAD,Valdosta,Moody AFB,GA,None,235,1039,-0.7738
805,SO,GA,SSI,Brunswick,St Simons Island,GA,None,129,66,0.9545
850,SO,GA,LZU,Lawrenceville,Gwinnett County/Briscoe Field,GA,None,71,3,22.6667
880,SO,GA,FTY,Atlanta,Fulton County Exec/Charlie Brown Field,GA,None,54,45,0.2
922,SO,GA,VDI,Vidalia,Vidalia Regional,GA,None,37,6,5.1667
1046,SO,GA,TVI,Thomasville,Thomasville Regional,GA,None,14,20,-0.3
1080,SO,GA,BGE,Bainbridge,Decatur County Industrial Air Park,GA,None,9,22,-0.5909
1167,SO,GA,GA2,Williamson,Peach State Aerodrome,GA,None,5,0,0
1188,SO,GA,DNN,Dalton,Dalton Municipal,GA,None,4,0,0
1193,SO,GA,MAC,Macon,Macon Downtown,GA,None,4,0,0
1205,SO,GA,TMA,Tifton,Henry Tift Myers,GA,None,4,0,0
1223,SO,GA,CNI,Canton,Cherokee County Regional,GA,None,3,5,-0.4
1231,SO,GA,HQU,Thomson,Thomson-McDuffie County,GA,None,3,0,0
1246,SO,GA,3J7,Greensboro,Greene County Regional,GA,None,2,15,-0.8667
1286,SO,GA,RMG,Rome,Richard B Russell Regional - J H Towers Field,GA,None,2,4,-0.5
1306,SO,GA,GVL,Gainesville,Lee Gilmer Memorial,GA,None,1,0,0
1324,SO,GA,WDR,Winder,Barrow County,GA,None,1,0,0
192,WP,GU,GUM,Tamuning,Guam International,P,N,150718,274436,-0.4508
412,WP,GU,UAM,"Andersen,Mariana Island",Andersen AFB,GA,None,8410,5170,0.6267
32,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,M,5830928,3126391,0.8651
50,WP,HI,OGG,Kahului,Kahului,P,M,2933315,1135141,1.5841
75,WP,HI,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,S,1404584,625484,1.2456
85,WP,HI,LIH,Lihue,Lihue,P,S,1039607,492509,1.1108
138,WP,HI,ITO,Hilo,Hilo International,P,S,358471,232503,0.5418
242,WP,HI,MKK,Kaunakakai,Molokai,P,N,68251,30740,1.2203
310,WP,HI,LNY,Lanai City,Lanai,P,N,24226,17128,0.4144
440,WP,HI,NGF,Kaneohe,Kaneohe Bay MCAS (Marion E Carl Field),GA,None,6340,3802,0.6675
447,WP,HI,JHM,Lahaina,Kapalua,GA,None,5794,5826,-0.0055
500,WP,HI,MUE,Kamuela,Waimea-Kohala,CS,None,3298,1467,1.2481
527,WP,HI,HNM,Hana,Hana,GA,None,2315,421,4.4988
531,WP,HI,LUP,Kalaupapa,Kalaupapa,GA,None,2193,399,4.4962
83,CE,IA,DSM,Des Moines,Des Moines International,P,S,1066826,632022,0.688
112,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,531295,310028,0.7137
291,CE,IA,SUX,Sioux City,Sioux Gateway/Brig General Bud Day Field,P,N,31101,17078,0.8211
332,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,18867,11503,0.6402
359,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,14367,7010,1.0495
421,CE,IA,MCW,Clear Lake,Mason City Municipal,CS,None,7741,3503,1.2098
429,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,7199,3702,0.9446
485,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,3547,2681,0.323
684,CE,IA,IOW,Iowa City,Iowa City Municipal,GA,None,600,3,199
688,CE,IA,IKV,Ankeny,Ankeny Regional,GA,None,573,0,0
928,CE,IA,AMW,Ames,Ames Municipal,GA,None,35,31,0.129
1310,CE,IA,LRJ,Le Mars,Le Mars Municipal,GA,None,1,0,0
61,NM,ID,BOI,Boise,Boise Air Trml/Gowen Field,P,M,1809000,991241,0.825
168,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,217863,101420,1.1481
220,NM,ID,SUN,Hailey,Friedman Memorial,P,N,94166,46468,1.0265
285,NM,ID,TWF,Twin Falls,Joslin Field/Magic Valley Regional,P,N,34959,23528,0.4858
293,NM,ID,LWS,Lewiston,Lewiston/Nez Perce County,P,N,30892,15630,0.9765
315,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,23818,19395,0.228
746,NM,ID,MUO,Mountain Home,Mountain Home AFB,GA,None,249,888,-0.7196
747,NM,ID,SMN,Salmon,Lemhi County,GA,None,245,180,0.3611
776,NM,ID,COE,Hayden Lake,Coeur D'Alene/Pappy Boyington Field,GA,None,180,41,3.3902
1038,NM,ID,DIJ,Driggs,Driggs-Reed Memorial,GA,None,14,0,0
1149,NM,ID,MYL,McCall,McCall Municipal,GA,None,6,0,0
1157,NM,ID,BYI,Burley,Burley Municipal,GA,None,5,0,0
1239,NM,ID,SZT,Sandpoint,Sandpoint,GA,None,3,4,-0.25
1240,NM,ID,U70,Cascade,Cascade,GA,None,3,0,0
1243,NM,ID,1U1,Moose Creek Ranger Station,Moose Creek /USFS/,GA,None,2,0,0
1264,NM,ID,GIC,Grangeville,Idaho County,GA,None,2,0,0
4,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,26350976,14606034,0.8041
26,GL,IL,MDW,Chicago,Chicago Midway International,P,L,7680617,4236603,0.8129
160,GL,IL,MLI,Moline,Quad Cities International,P,N,246248,149533,0.6468
164,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,237442,159777,0.4861
186,GL,IL,BLV,Belleville,Scott AFB/Midamerica St Louis,P,N,161562,108765,0.4854
188,GL,IL,BMI,Bloomington-Normal Airport,Central Il Regional/Bloomington-Normal,P,N,159897,89759,0.7814
214,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,102779,79674,0.29
249,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,60949,34486,0.7674
256,GL,IL,CMI,Savoy,University of Illinois/Willard,P,N,56700,35874,0.5805
393,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,P,N,10522,5783,0.8195
406,GL,IL,DEC,Decatur,Decatur,CS,None,9001,3429,1.625
427,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,CS,None,7418,4929,0.505
493,GL,IL,CPS,Cahokia,St Louis Downtown,GA,None,3445,1107,2.112
699,GL,IL,PWK,Wheeling,Chicago Exec,GA,None,488,126,2.873
740,GL,IL,MTO,Mattoon,Coles County Memorial,GA,None,262,0,0
832,GL,IL,UGN,Waukegan,Waukegan Ntl,GA,None,88,99,-0.1111
873,GL,IL,DPA,DuPage (County),Dupage,GA,None,56,6,8.3333
874,GL,IL,MDH,Carbondale,Southern Illinois,GA,None,56,0,0
893,GL,IL,RSV,Robinson,Crawford County,GA,None,50,0,0
916,GL,IL,ARR,Aurora,Aurora Municipal,GA,None,38,12,2.1667
957,GL,IL,DKB,De Kalb,De Kalb Taylor Municipal,GA,None,29,3,8.6667
958,GL,IL,I63,Mount Sterling,Mount Sterling Municipal,GA,None,29,2,13.5
981,GL,IL,3MY,Peoria,Mount Hawley Auxiliary,GA,None,24,1,23
1043,GL,IL,MVN,Mount Vernon,Mount Vernon,GA,None,14,0,0
1064,GL,IL,ALN,Alton,St Louis Regional,GA,None,11,0,0
1089,GL,IL,LOT,Romeo (RR name for Romeoville),Lewis University,GA,None,9,7,0.2857
1267,GL,IL,H96,Benton,Benton Municipal,GA,None,2,0,0
47,GL,IN,IND,Indianapolis,Indianapolis International,P,M,3487100,1989126,0.7531
143,GL,IN,SBN,South Bend,South Bend International,P,S,341343,209214,0.6315
145,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,S,335804,213125,0.5756
184,GL,IN,EVV,Evansville,Evansville Regional,P,N,164807,104883,0.5713
497,GL,IN,GYY,Gary,Gary/Chicago International,CS,None,3373,2659,0.2685
548,GL,IN,BMG,Bloomington,Monroe County,GA,None,1931,1093,0.7667
551,GL,IN,LAF,West Lafayette,Purdue University,GA,None,1877,1289,0.4562
656,GL,IN,HUF,Terre Haute,Terre Haute Regional,GA,None,759,0,0
702,GL,IN,MIE,Muncie,Delaware County Regional,GA,None,477,0,0
886,GL,IN,TYQ,Zionsville,Indianapolis Exec,GA,None,53,8,5.625
902,GL,IN,MQJ,McCordsville,Indianapolis Regional,GA,None,47,18,1.6111
1099,GL,IN,BAK,Columbus,Columbus Municipal,GA,None,8,3,1.6667
1103,GL,IN,EYE,Indianapolis,Eagle Creek Airpark,GA,None,8,4,1
1182,GL,IN,AID,Anderson,Anderson Municipal-Darlington Field,GA,None,4,0,0
1263,GL,IN,GEZ,Shelbyville,Shelbyville Municipal,GA,None,2,0,0
1302,GL,IN,EKM,Elkhart,Elkhart Municipal,GA,None,1,6,-0.8333
106,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower Ntl,P,S,633562,381825,0.6593
251,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,60030,36577,0.6412
299,CE,KS,GCK,Garden City,Garden City Regional,P,N,28525,16421,0.7371
330,CE,KS,SLN,Salina,Salina Regional,P,N,19407,10561,0.8376
389,CE,KS,HYS,Hays,Hays Regional,P,N,11081,5388,1.0566
413,CE,KS,FOE,Topeka,Topeka Regional,GA,None,8387,2803,1.9922
416,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,8246,2698,2.0563
434,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,6653,3117,1.1344
806,CE,KS,IAB,Wichita,McConnell AFB,GA,None,128,93,0.3763
887,CE,KS,IXD,Olathe,New Century Aircenter,GA,None,52,16,2.25
933,CE,KS,AAO,Wichita,Colonel James Jabara,GA,None,34,0,0
954,CE,KS,1K1,Benton,Lloyd Stearman Field,GA,None,29,0,0
1006,CE,KS,LWC,Lawrence,Lawrence Regional,GA,None,19,0,0
1108,CE,KS,HUT,Hutchinson,Hutchinson Regional,GA,None,8,0,0
1261,CE,KS,EWK,Newton,Newton-City-County,GA,None,2,0,0
1269,CE,KS,K87,Hiawatha,Hiawatha Municipal,GA,None,2,0,0
49,SO,KY,CVG,Hebron,Cincinnati/Northern Kentucky International,P,M,3050597,1729395,0.764
71,SO,KY,SDF,Louisville,Louisville Muhammad Ali International,P,S,1529472,785759,0.9465
122,SO,KY,LEX,Lexington,Blue Grass,P,S,464313,288536,0.6092
368,SO,KY,PAH,Paducah,Barkley Regional,P,N,13643,6560,1.0797
370,SO,KY,OWB,Owensboro,Owensboro/Daviess County Regional,P,N,13396,9284,0.4429
562,SO,KY,BWG,Bowling Green,Bowling Green-Warren County Regional,GA,None,1776,775,1.2916
590,SO,KY,HOP,Fort Campbell,Campbell AAF (Fort Campbell),GA,None,1483,6869,-0.7841
937,SO,KY,EHR,Henderson,Henderson City-County,GA,None,34,7,3.8571
1029,SO,KY,LOZ,London,London/Corbin/Magee,GA,None,15,0,0
1072,SO,KY,BRY,Bardstown,Samuels Field,GA,None,10,0,0
1102,SO,KY,DVK,Danville,Stuart Powell Field,GA,None,8,0,0
1274,SO,KY,LOU,Louisville,Bowman Field,GA,None,2,10,-0.8
40,SW,LA,MSY,New Orleans,Louis Armstrong New Orleans International,P,M,4017147,2632606,0.5259
153,SW,LA,BTR,Baton Rouge,"Baton Rouge Metro, Ryan Field",P,N,279159,176327,0.5832
159,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,246772,153635,0.6062
172,SW,LA,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,P,N,208047,119977,0.7341
196,SW,LA,AEX,Alexandria,Alexandria International,P,N,144218,113513,0.2705
224,SW,LA,MLU,Monroe,Monroe Regional,P,N,84693,56068,0.5105
260,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,52726,32088,0.6432
618,SW,LA,BAD,Bossier City,Barksdale AFB,GA,None,1162,533,1.1801
877,SW,LA,NEW,New Orleans,Lakefront,GA,None,55,5,10
1169,SW,LA,HDC,Hammond,Hammond Northshore Regional,GA,None,5,0,0
1170,SW,LA,HUM,Houma,Houma-Terrebonne,GA,None,5,7,-0.2857
1226,SW,LA,DTN,Shreveport,Shreveport Downtown,GA,None,3,0,0
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,10909817,6035452,0.8076
199,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,135526,48058,1.8201
244,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,67789,18462,2.6718
329,NE,MA,HYA,Hyannis,Cape Cod Gateway,P,N,19520,9779,0.9961
362,NE,MA,ORH,Worcester,Worcester Regional,P,N,14301,20464,-0.3012
401,NE,MA,BED,Bedford,Laurence G Hanscom Field,CS,None,9572,4695,1.0388
422,NE,MA,PVC,Provincetown,Provincetown Municipal,CS,None,7707,2821,1.732
499,NE,MA,EWB,New Bedford,New Bedford Regional,CS,None,3353,1800,0.8628
632,NE,MA,BAF,Westfield,Westfield-Barnes Regional,GA,None,1031,257,3.0117
677,NE,MA,OWD,Norwood,Norwood Memorial,GA,None,658,709,-0.0719
761,NE,MA,CEF,Chicopee,Westover ARB/Metro,GA,None,201,414,-0.5145
896,NE,MA,BVY,Beverly,Beverly Regional,GA,None,49,17,1.8824
934,NE,MA,CQX,Chatham,Chatham Municipal,GA,None,34,33,0.0303
942,NE,MA,GHG,Marshfield,Marshfield Municipal - George Harlow Field,GA,None,33,0,0
953,NE,MA,PSF,Pittsfield,Pittsfield Municipal,GA,None,30,28,0.0714
1039,NE,MA,GBR,Great Barrington,Walter J Koladza,GA,None,14,12,0.1667
1041,NE,MA,LWM,Lawrence,Lawrence Municipal,GA,None,14,22,-0.3636
1093,NE,MA,PYM,Plymouth,Plymouth Municipal,GA,None,9,30,-0.7
1179,NE,MA,7B2,Northampton,Northampton,GA,None,4,6,-0.3333
1227,NE,MA,FIT,Fitchburg,Fitchburg Municipal,GA,None,3,1,2
1296,NE,MA,0B5,Montague,Turners Falls,GA,None,1,0,0
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,9253561,5451355,0.6975
252,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,58574,34247,0.7103
317,EA,MD,HGR,Hagerstown,Hagerstown Regional/Richard A Henson Field,P,N,23227,14373,0.616
519,EA,MD,ADW,Camp Springs,Joint Base Andrews,GA,None,2494,1398,0.784
807,EA,MD,NHK,Patuxent River Naval Air Test Center,Patuxent River NAS (Trapnell Field),GA,None,128,0,0
815,EA,MD,MTN,Middle River,Martin State,GA,None,121,21,4.7619
956,EA,MD,CGS,College Park,College Park,GA,None,29,6,3.8333
1056,EA,MD,ESN,Easton,Easton/Newnam Field,GA,None,12,10,0.2
1074,EA,MD,GAI,Gaithersburg,Montgomery County Airpark,GA,None,10,8,0.25
1129,EA,MD,FDK,Frederick,Frederick Municipal,GA,None,7,3,1.3333
1173,EA,MD,MD1,Massey,Massey Aerodrome,GA,None,5,0,0
1222,EA,MD,CGE,Cambridge,Cambridge-Dorchester Regional,GA,None,3,0,0
95,NE,ME,PWM,Portland,Portland International Jetport,P,S,854142,394089,1.1674
151,NE,ME,BGR,Bangor,Bangor International,P,N,298582,134022,1.2279
381,NE,ME,RKD,Rockland,Knox County Regional,P,N,12149,2131,4.7011
388,NE,ME,PQI,Presque Isle,Presque Isle International,P,N,11137,5271,1.1129
408,NE,ME,BHB,Bar Harbor,Hancock County/Bar Harbor,CS,None,8874,2838,2.1268
480,NE,ME,AUG,Augusta,Augusta State,CS,None,3836,1744,1.1995
904,NE,ME,SFM,Sanford,Sanford Seacoast Regional,GA,None,47,33,0.4242
945,NE,ME,57B,Islesboro,Islesboro,GA,None,32,4,7
996,NE,ME,LEW,Auburn,Auburn/Lewiston Municipal,GA,None,22,3,6.3333
1001,NE,ME,BXM,Brunswick,Brunswick Exec,GA,None,20,3,5.6667
1012,NE,ME,B21,Carrabassett,Sugarloaf Regional,GA,None,18,20,-0.1
1028,NE,ME,IZG,Fryeburg,Eastern Slopes Regional,GA,None,15,2,6.5
1122,NE,ME,WVL,Waterville,Waterville Robert Lafleur,GA,None,8,3,1.6667
1133,NE,ME,IWI,Wiscasset,Wiscasset,GA,None,7,1,6
1255,NE,ME,BST,Belfast,Belfast Municipal,GA,None,2,0,0
18,GL,MI,DTW,Detroit,Detroit Metro Wayne County,P,L,11517696,6822324,0.6882
72,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,1450377,857092,0.6922
150,GL,MI,TVC,Traverse City,Cherry Capital,P,N,299027,145139,1.0603
163,GL,MI,FNT,Flint,Bishop International,P,N,241651,175638,0.3758
221,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,94151,67197,0.4011
229,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,79542,52559,0.5134
241,GL,MI,MBS,Saginaw,MBS International,P,N,68806,47393,0.4518
261,GL,MI,SAW,Gwinn,Sawyer International,P,N,51846,26843,0.9315
298,GL,MI,PLN,Pellston,Pellston Regional/Emmet County,P,N,29241,15814,0.8491
322,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,21046,11774,0.7875
340,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,17356,10719,0.6192
356,GL,MI,IMT,Iron Mountain,Ford,P,N,14863,10464,0.4204
358,GL,MI,ESC,Escanaba,Delta County,P,N,14780,8204,0.8016
377,GL,MI,MKG,Muskegon,Muskegon County,P,N,12741,5550,1.2957
379,GL,MI,APN,Alpena,Alpena County Regional,P,N,12486,6533,0.9112
351,GL,MI,6Y8,Beaver Island,Welke,GA,None,15639,0,0
357,GL,MI,CVX,Charlevoix,Charlevoix Municipal,GA,None,14793,10,1478.3
454,GL,MI,MBL,Manistee,Manistee County/Blacker,CS,None,5108,613,7.3328
458,GL,MI,IWD,Ironwood,Gogebic/Iron County,CS,None,4763,2541,0.8745
581,GL,MI,YIP,Detroit,Willow Run,GA,None,1579,1029,0.5345
783,GL,MI,PTK,Pontiac,Oakland County International,GA,None,167,37,3.5135
825,GL,MI,MTC,Mount Clemens,Selfridge Angb,GA,None,109,0,0
965,GL,MI,MOP,Mount Pleasant,Mount Pleasant Municipal,GA,None,28,4,6
978,GL,MI,GLR,Gaylord,Gaylord Regional,GA,None,25,0,0
1081,GL,MI,BTL,Battle Creek,Battle Creek Exec at Kellogg Field,GA,None,9,0,0
1154,GL,MI,BEH,Benton Harbor,Southwest Michigan Regional,GA,None,5,2,1.5
1184,GL,MI,BIV,Holland,West Michigan Regional,GA,None,4,2,1
1218,GL,MI,ARB,Ann Arbor,Ann Arbor Municipal,GA,None,3,8,-0.625
1225,GL,MI,DET,Detroit,Coleman A Young Municipal,GA,None,3,12,-0.75
1233,GL,MI,LDM,Ludington,Mason County,GA,None,3,0,0
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,12211409,7069720,0.7273
212,GL,MN,DLH,Duluth,Duluth International,P,N,108585,64979,0.6711
215,GL,MN,RST,Rochester,Rochester International,P,N,98975,66100,0.4974
307,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,25994,16783,0.5488
333,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,18790,12103,0.5525
345,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,16632,15676,0.061
378,GL,MN,HIB,Hibbing,Range Regional,P,N,12672,8432,0.5028
415,GL,MN,INL,International Falls,Falls International/Einarson Field,CS,None,8277,5884,0.4067
426,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,7423,2812,1.6398
755,GL,MN,CHU,Caledonia,Houston County,GA,None,212,0,0
838,GL,MN,STP,St. Paul,St Paul Downtown Holman Field,GA,None,82,19,3.3158
917,GL,MN,FCM,Minneapolis,Flying Cloud,GA,None,38,11,2.4545
952,GL,MN,ONA,Winona,Winona Municipal-Max Conrad Field,GA,None,30,0,0
1160,GL,MN,DTL,Detroit Lakes,Detroit Lakes/Wething Field,GA,None,5,0,0
1228,GL,MN,FRM,Fairmont,Fairmont Municipal,GA,None,3,28,-0.8929
1305,GL,MN,GPZ,Grand Rapids,Grand Rapids/Itasca County-Gordon Newstrom Field,GA,None,1,0,0
1311,GL,MN,MKT,Mankato,Mankato Regional,GA,None,1,10,-0.9
1313,GL,MN,OWA,Owatonna,Owatonna Degner Regional,GA,None,1,3,-0.6667
36,CE,MO,STL,St. Louis,St Louis Lambert International,P,M,5070471,3041765,0.667
43,CE,MO,MCI,Kansas City,Kansas City International,P,M,3795290,2167616,0.7509
118,CE,MO,SGF,Springfield,Springfield-Branson Ntl,P,S,480975,292246,0.6458
228,CE,MO,COU,Columbia,Columbia Regional,P,N,79775,51191,0.5584
304,CE,MO,JLN,Joplin,Joplin Regional,P,N,26698,24944,0.0703
387,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,P,N,11340,9666,0.1732
395,CE,MO,BBG,Branson,Branson,P,N,10326,7068,0.461
402,CE,MO,CGI,Cape Girardeau,Cape Girardeau Regional,CS,None,9244,4573,1.0214
466,CE,MO,MKC,Kansas City,Charles B Wheeler Downtown,GA,None,4301,2236,0.9235
473,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,4099,2905,0.411
503,CE,MO,SUS,Chesterfield,Spirit of St. Louis,GA,None,3108,1107,1.8076
758,CE,MO,SZL,Knob Noster,Whiteman AFB,GA,None,206,625,-0.6704
773,CE,MO,AIZ,Kaiser,Lee C Fine Memorial,GA,None,182,18,9.1111
987,CE,MO,FYG,Washington,Washington Regional,GA,None,23,0,0
991,CE,MO,UUV,Sullivan,Sullivan Regional,GA,None,23,3,6.6667
1040,CE,MO,HAE,Hannibal,Hannibal Regional,GA,None,14,7,1
1085,CE,MO,GPH,Mosby,Midwest Ntl Air Center,GA,None,9,2,3.5
1118,CE,MO,STJ,St. Joseph,Rosecrans Memorial,GA,None,8,15,-0.4667
1275,CE,MO,LXT,Lee's Summit,Lee's Summit Municipal,GA,None,2,0,0
253,WP,MP,GSN,Saipan,Francisco C Ada/Saipan International,P,N,58382,128204,-0.5446
311,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,24169,17076,0.4154
405,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,CS,None,9094,5456,0.6668
121,SO,MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,466067,209230,1.2275
147,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,N,317112,193134,0.6419
283,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,36235,21918,0.6532
349,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,15748,9981,0.5778
366,SO,MS,PIB,Moselle,Hattiesburg/Laurel Regional,P,N,13853,9008,0.5379
383,SO,MS,MEI,Meridian,Key Field,P,N,12050,9447,0.2755
448,SO,MS,GLH,Greenville,Greenville Mid-Delta,CS,None,5608,2785,1.0136
664,SO,MS,BIX,Biloxi,Keesler AFB,GA,None,723,477,0.5157
858,SO,MS,UOX,Oxford,University-Oxford,GA,None,66,41,0.6098
1042,SO,MS,MBO,Madison,Bruce Campbell Field,GA,None,14,0,0
