Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
372,NM,WA,WN22,Seattle,Lake Union,GA,None,13194,6532,1.0199
411,NM,WA,W33,Friday Harbor,Friday Harbor,CS,None,8504,2563,2.318
417,NM,WA,TCM,Tacoma,McChord Field (Joint Base Lewis-McChord),GA,None,8113,305,25.6
445,NM,WA,W39,Roche Harbor,Roche Harbor,GA,None,5905,1905,2.0997
514,NM,WA,RNT,Renton,Renton Municipal,CS,None,2734,825,2.3139
584,NM,WA,W49,Rosario,Rosario,GA,None,1540,295,4.2203
636,NM,WA,NUW,Oak Harbor,Whidbey Island NAS (Ault Field),GA,None,996,949,0.0495
645,NM,WA,S31,Lopez,Lopez Island,GA,None,868,449,0.9332
692,NM,WA,CLM,Port Angeles,William R Fairchild International,GA,None,545,292,0.8664
731,NM,WA,WA83,West Sound,Westsound/Wsx,GA,None,311,53,4.8679
769,NM,WA,MWH,Moses Lake,Grant County International,GA,None,186,0,0
775,NM,WA,GRF,Fort Lewis/Tacoma,Gray AAF (Joint Base Lewis-McChord),GA,None,181,388,-0.5335
804,NM,WA,WA18,Decatur Island,Decatur /Jones/,GA,None,130,10,12
847,NM,WA,74S,Anacortes,Anacortes,GA,None,73,45,0.6222
895,NM,WA,0S9,Port Townsend,Jefferson County International,GA,None,49,36,0.3611
920,NM,WA,WA28,Auburn,Private H/C Pad,GA,None,38,0,0
926,NM,WA,TIW,Tacoma,Tacoma Narrows,GA,None,36,10,2.6
927,NM,WA,W28,Sequim,Sequim Valley,GA,None,36,13,1.7692
939,NM,WA,PWT,Bremerton,Bremerton Ntl,GA,None,34,6,4.6667
949,NM,WA,WA09,Roche Harbor,Roche Harbor,GA,None,31,35,-0.1143
955,NM,WA,BVS,Burlington,Skagit Regional,GA,None,29,119,-0.7563
970,NM,WA,VUO,Vancouver,Pearson Field,GA,None,27,2,12.5
973,NM,WA,38WA,Blakely Island,Blakely Island,GA,None,25,2,11.5
998,NM,WA,83Q,Poulsbo,Port of Poulsbo Marina Moorage,GA,None,21,4,4.25
1058,NM,WA,SHN,Shelton,Sanderson Field,GA,None,12,4,2
1062,NM,WA,11S,Sekiu,Sekiu,GA,None,11,4,1.75
1063,NM,WA,6S9,Stehekin,Stehekin State,GA,None,11,4,1.75
1094,NM,WA,S43,Snohomish,Harvey Field,GA,None,9,0,0
1137,NM,WA,OLM,Olympia,Olympia Regional,GA,None,7,11,-0.3636
1153,NM,WA,AWO,Arlington,Arlington Municipal,GA,None,5,8,-0.375
1178,NM,WA,2S1,Vashon,Vashon Municipal,GA,None,4,0,0
1201,NM,WA,S10,Chelan,Lake Chelan,GA,None,4,2,1
1202,NM,WA,S95,College Place,Martin Field,GA,None,4,0,0
1209,NM,WA,W04,Ocean Shores,Ocean Shores Municipal,GA,None,4,0,0
1210,NM,WA,W10,Langley,Whidbey Air Park,GA,None,4,0,0
1215,NM,WA,7WA5,Stuart Island,Stuart Island Airpark,GA,None,3,0,0
1237,NM,WA,S36,Kent,Norman Grier Field,GA,None,3,0,0
1238,NM,WA,S52,Winthrop,Methow Valley State,GA,None,3,0,0
1287,NM,WA,S18,Forks,Forks,GA,None,2,3,-0.3333
1292,NM,WA,UIL,Quillayute,Quillayute,GA,None,2,0,0
1295,NM,WA,WN07,Decatur,Decatur Shores,GA,None,2,0,0
55,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,2231010,1263385,0.7659
105,GL,WI,MSN,Madison,Dane County Regional/Truax Field,P,S,699167,412729,0.694
141,GL,WI,ATW,Appleton,Appleton International,P,S,352006,184128,0.9117
155,GL,WI,GRB,Green Bay,Green Bay/Austin Straubel International,P,N,264755,141407,0.8723
216,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,98087,57163,0.7159
226,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,82683,44050,0.877
306,GL,WI,RHI,Rhinelander,Rhinelander/Oneida County,P,N,26252,13654,0.9227
328,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,19860,10118,0.9628
568,GL,WI,VOK,Camp Douglas,Volk Field,GA,None,1714,402,3.2637
797,GL,WI,JVL,Janesville,Southern Wisconsin Regional,GA,None,136,118,0.1525
872,GL,WI,SBM,Sheboygan,Sheboygan County Memorial,GA,None,57,10,4.7
936,GL,WI,EGV,Eagle River,Eagle River Union,GA,None,34,14,1.4286
